Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
1758,76,1758,"Anderson, Sarah","Team
–","Team
–","HALF
01:20:42","Finish Net
02:54:04","Finish Gun
02:54:23"
1771,77,1771,"Hawkins, Courtney","Team
Boston Athletic Association","Team
Boston Athletic Association","HALF
01:23:28","Finish Net
02:54:10","Finish Gun
02:55:38"
1773,78,1773,"Babish, Lindsay","Team
–","Team
–","HALF
01:24:09","Finish Net
02:54:12","Finish Gun
02:55:00"
1779,79,1779,"Kimble, Caroline","Team
–","Team
–","HALF
01:24:32","Finish Net
02:54:15","Finish Gun
02:56:40"
1797,80,1797,"Schassberger, Molly","Team
–","Team
–","HALF
01:25:26","Finish Net
02:54:26","Finish Gun
02:55:59"
1807,81,1807,"Chavero, Mariana","Team
–","Team
–","HALF
01:26:15","Finish Net
02:54:28","Finish Gun
02:58:26"
1842,82,1842,"Skelley, Alaina","Team
–","Team
–","HALF
01:26:57","Finish Net
02:54:40","Finish Gun
03:00:33"
1874,83,1874,"Carter, Mattie","Team
–","Team
–","HALF
01:27:59","Finish Net
02:54:50","Finish Gun
03:00:34"
1897,84,1897,"Strong, Kayla","Team
–","Team
–","HALF
01:25:05","Finish Net
02:55:00","Finish Gun
02:57:26"
1901,85,1901,"Watson, Jessica","Team
–","Team
–","HALF
01:23:45","Finish Net
02:55:01","Finish Gun
02:55:47"
1903,86,1903,"Bandt, Carly","Team
Impala Racing Team","Team
Impala Racing Team","HALF
01:24:30","Finish Net
02:55:01","Finish Gun
02:59:23"
1915,87,1915,"Mayer, Katarina","Team
–","Team
–","HALF
01:26:04","Finish Net
02:55:07","Finish Gun
02:58:40"
1921,88,1921,"Hirsch, Madison","Team
–","Team
–","HALF
01:25:08","Finish Net
02:55:09","Finish Gun
02:59:00"
1935,89,1935,"Ben-Ishai, Elizabeth","Team
–","Team
–","HALF
01:25:42","Finish Net
02:55:15","Finish Gun
02:59:09"
1948,90,1948,"Farmer, Samantha","Team
–","Team
–","HALF
01:23:21","Finish Net
02:55:19","Finish Gun
02:56:41"
1954,91,1954,"Raymond, Maude","Team
–","Team
–","HALF
01:26:33","Finish Net
02:55:22","Finish Gun
02:58:05"
1985,92,1985,"Aluise, Kayla","Team
–","Team
–","HALF
01:26:21","Finish Net
02:55:35","Finish Gun
02:55:57"
1995,93,1995,"Sullivan, Madison","Team
–","Team
–","HALF
01:24:29","Finish Net
02:55:38","Finish Gun
02:57:03"
2011,94,2011,"Murray, Shannen","Team
–","Team
–","HALF
01:25:23","Finish Net
02:55:44","Finish Gun
03:00:23"
2018,95,2018,"Yazlovskaya, Violetta","Team
–","Team
–","HALF
01:24:13","Finish Net
02:55:47","Finish Gun
02:56:01"
2029,96,2029,"Chappell, Kelsi","Team
–","Team
–","HALF
01:26:01","Finish Net
02:55:52","Finish Gun
02:57:19"
2033,97,2033,"Stasulli, Dominique","Team
–","Team
–","HALF
01:27:44","Finish Net
02:55:54","Finish Gun
02:55:58"
2041,98,2041,"Camy, Elizabeth","Team
–","Team
–","HALF
01:22:47","Finish Net
02:55:58","Finish Gun
02:55:58"
2044,99,2044,"Schmitt, Rebecca","Team
–","Team
–","HALF
01:28:27","Finish Net
02:55:59","Finish Gun
02:59:02"
2054,100,2054,"Young, Lorna","Team
–","Team
–","HALF
01:26:54","Finish Net
02:56:02","Finish Gun
03:01:43"
2084,101,2084,"Roper, Kara","Team
–","Team
–","HALF
01:24:20","Finish Net
02:56:13","Finish Gun
02:56:59"
2092,102,2092,"Quilliam, Nicole","Team
–","Team
–","HALF
01:26:54","Finish Net
02:56:17","Finish Gun
02:59:53"
