Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
17569,6789,17569,"Pelzel, Amy","Team
–","Team
–","HALF
01:59:52","Finish Net
04:09:03","Finish Gun
04:12:04"
17572,6790,17572,"Cormeny, Diana","Team
–","Team
–","HALF
01:53:44","Finish Net
04:09:03","Finish Gun
04:14:42"
17574,6791,17574,"Lee, Taylor","Team
–","Team
–","HALF
02:02:46","Finish Net
04:09:04","Finish Gun
04:17:40"
17575,6792,17575,"Mckown, Linda","Team
–","Team
–","HALF
01:54:44","Finish Net
04:09:04","Finish Gun
04:17:06"
17577,6793,17577,"Snyder, Kristin","Team
–","Team
–","HALF
01:52:47","Finish Net
04:09:04","Finish Gun
04:11:32"
17578,6794,17578,"Easton, Cameron","Team
–","Team
–","HALF
02:07:25","Finish Net
04:09:05","Finish Gun
04:11:10"
17579,6795,17579,"Cornet De Ways Ruart, Celine","Team
–","Team
–","HALF
01:42:33","Finish Net
04:09:05","Finish Gun
04:15:38"
17581,6796,17581,"Vos, Anouk","Team
–","Team
–","HALF
01:56:13","Finish Net
04:09:05","Finish Gun
04:12:59"
17582,6797,17582,"Glaus, Wendy Miki","Team
–","Team
–","HALF
02:00:39","Finish Net
04:09:05","Finish Gun
04:13:23"
17585,6798,17585,"Roberts, Ann","Team
–","Team
–","HALF
01:59:35","Finish Net
04:09:06","Finish Gun
04:18:09"
17586,6799,17586,"Wu, Peishan","Team
–","Team
–","HALF
01:42:31","Finish Net
04:09:06","Finish Gun
04:16:04"
17587,6800,17587,"Burtner, Jennifer","Team
–","Team
–","HALF
01:45:06","Finish Net
04:09:07","Finish Gun
04:11:02"
17589,6801,17589,"Knox, Emily","Team
–","Team
–","HALF
01:45:55","Finish Net
04:09:07","Finish Gun
04:11:16"
17590,6802,17590,"Egner, Leah","Team
–","Team
–","HALF
01:58:26","Finish Net
04:09:08","Finish Gun
04:15:26"
17593,6803,17593,"Crosskill, Marcey","Team
–","Team
–","HALF
01:52:41","Finish Net
04:09:08","Finish Gun
04:13:17"
17594,6804,17594,"Watkins, Tracey","Team
–","Team
–","HALF
01:59:55","Finish Net
04:09:09","Finish Gun
04:19:29"
17595,6805,17595,"Herridge, Debbie","Team
–","Team
–","HALF
01:59:48","Finish Net
04:09:09","Finish Gun
04:15:07"
17597,6806,17597,"Jin, Lihua","Team
–","Team
–","HALF
02:00:26","Finish Net
04:09:09","Finish Gun
04:17:40"
17598,6807,17598,"Mcevilly, Maggie","Team
–","Team
–","HALF
01:56:14","Finish Net
04:09:10","Finish Gun
04:12:32"
17601,6808,17601,"Nee, Alyssa","Team
–","Team
–","HALF
01:58:47","Finish Net
04:09:10","Finish Gun
04:12:35"
17602,6809,17602,"Garrison, Charlotte","Team
–","Team
–","HALF
01:51:56","Finish Net
04:09:11","Finish Gun
04:12:45"
17603,6810,17603,"Porter, Kaye","Team
–","Team
–","HALF
01:53:46","Finish Net
04:09:11","Finish Gun
04:18:44"
17606,6811,17606,"Boisjoly, Haven","Team
–","Team
–","HALF
01:58:26","Finish Net
04:09:12","Finish Gun
04:14:44"
17607,6812,17607,"Carol, Anna Carolina De Sales Vieira","Team
–","Team
–","HALF
01:51:22","Finish Net
04:09:12","Finish Gun
04:11:28"
17608,6813,17608,"Shanley, Susan","Team
Cape Cod Athletic Club","Team
Cape Cod Athletic Club","HALF
01:57:53","Finish Net
04:09:12","Finish Gun
04:17:22"
17610,6814,17610,"Hettel, Christine","Team
–","Team
–","HALF
01:57:05","Finish Net
04:09:14","Finish Gun
04:15:38"
17611,6815,17611,"Turman, Elizabeth","Team
–","Team
–","HALF
01:58:09","Finish Net
04:09:14","Finish Gun
04:15:48"
17612,6816,17612,"Cafik, Yvonne","Team
–","Team
–","HALF
01:58:46","Finish Net
04:09:15","Finish Gun
04:17:03"
17613,6817,17613,"Sherrod, Penny","Team
–","Team
–","HALF
01:54:01","Finish Net
04:09:15","Finish Gun
04:15:09"
17614,6818,17614,"Borynik, Agnieszka","Team
–","Team
–","HALF
01:55:13","Finish Net
04:09:16","Finish Gun
04:15:05"
17615,6819,17615,"Anderson, Bryn","Team
–","Team
–","HALF
02:00:12","Finish Net
04:09:17","Finish Gun
04:11:49"
17616,6820,17616,"Bango, Geli","Team
–","Team
–","HALF
02:00:19","Finish Net
04:09:17","Finish Gun
04:16:44"
17625,6821,17625,"Hanley, Shannon","Team
–","Team
–","HALF
01:52:55","Finish Net
04:09:22","Finish Gun
04:13:44"
17629,6822,17629,"Rentz, Natalie","Team
–","Team
–","HALF
01:56:20","Finish Net
04:09:25","Finish Gun
04:14:11"
17631,6823,17631,"Hoskins, Amanda","Team
–","Team
–","HALF
01:54:55","Finish Net
04:09:25","Finish Gun
04:16:19"
17633,6824,17633,"Zhang, Xiaotun","Team
–","Team
–","HALF
01:54:41","Finish Net
04:09:25","Finish Gun
04:16:18"
17634,6825,17634,"Lou, Hongmei","Team
–","Team
–","HALF
02:03:31","Finish Net
04:09:26","Finish Gun
04:18:37"
17638,6826,17638,"Klaverweiden, Alyson","Team
–","Team
–","HALF
01:52:51","Finish Net
04:09:29","Finish Gun
04:14:00"
17639,6827,17639,"Hudak, Beth","Team
–","Team
–","HALF
02:05:15","Finish Net
04:09:29","Finish Gun
04:10:14"
17643,6828,17643,"Schroth, Libbie","Team
–","Team
–","HALF
01:48:48","Finish Net
04:09:31","Finish Gun
04:12:16"
17645,6829,17645,"Johnson, Miranda","Team
–","Team
–","HALF
01:59:08","Finish Net
04:09:32","Finish Gun
04:10:40"
17646,6830,17646,"Anderson, Christy","Team
–","Team
–","HALF
01:59:08","Finish Net
04:09:32","Finish Gun
04:10:40"
17647,6831,17647,"Gauthier, Katie","Team
–","Team
–","HALF
01:58:29","Finish Net
04:09:34","Finish Gun
04:20:46"
17648,6832,17648,"Colon, Maria","Team
–","Team
–","HALF
01:54:56","Finish Net
04:09:34","Finish Gun
04:16:05"
17649,6833,17649,"Oppenheimer, Karen","Team
–","Team
–","HALF
01:53:01","Finish Net
04:09:36","Finish Gun
04:15:31"
17652,6834,17652,"Payne, Joyce","Team
–","Team
–","HALF
01:56:28","Finish Net
04:09:37","Finish Gun
04:13:47"
17653,6835,17653,"Martinez, Kattia","Team
–","Team
–","HALF
01:55:28","Finish Net
04:09:37","Finish Gun
04:15:20"
17655,6836,17655,"Gould, Renee","Team
–","Team
–","HALF
02:02:45","Finish Net
04:09:37","Finish Gun
04:20:51"
17657,6837,17657,"Villar, Aran","Team
–","Team
–","HALF
01:57:03","Finish Net
04:09:38","Finish Gun
04:18:45"
17665,6838,17665,"Huml, Marianne","Team
–","Team
–","HALF
01:55:44","Finish Net
04:09:41","Finish Gun
04:14:47"
17667,6839,17667,"Wolf, Erin","Team
–","Team
–","HALF
01:57:35","Finish Net
04:09:41","Finish Gun
04:15:15"
17669,6840,17669,"Swords, Mairead","Team
–","Team
–","HALF
02:03:20","Finish Net
04:09:43","Finish Gun
04:12:45"
17670,6841,17670,"Pinder, Erin","Team
–","Team
–","HALF
01:52:22","Finish Net
04:09:43","Finish Gun
04:13:38"
17671,6842,17671,"Mikkelson, Mary","Team
–","Team
–","HALF
01:56:24","Finish Net
04:09:44","Finish Gun
04:18:23"
17674,6843,17674,"Hanebuth, Keri","Team
–","Team
–","HALF
01:37:27","Finish Net
04:09:45","Finish Gun
04:10:47"
17676,6844,17676,"Guadarrama, Guadalupe","Team
–","Team
–","HALF
01:57:15","Finish Net
04:09:45","Finish Gun
04:15:47"
17678,6845,17678,"Bozovic, Iva","Team
–","Team
–","HALF
01:54:49","Finish Net
04:09:46","Finish Gun
04:15:20"
17679,6846,17679,"Michaelis, Stephanie","Team
–","Team
–","HALF
01:50:58","Finish Net
04:09:46","Finish Gun
04:16:24"
17681,6847,17681,"Mcguire, Rachel","Team
–","Team
–","HALF
01:56:24","Finish Net
04:09:47","Finish Gun
04:18:03"
17682,6848,17682,"Kupiec, Kate","Team
–","Team
–","HALF
01:50:31","Finish Net
04:09:48","Finish Gun
04:11:23"
17684,6849,17684,"Wagner, Christine","Team
–","Team
–","HALF
01:53:57","Finish Net
04:09:50","Finish Gun
04:16:09"
17686,6850,17686,"Yager, Phoebe","Team
–","Team
–","HALF
01:55:50","Finish Net
04:09:50","Finish Gun
04:17:40"
17688,6851,17688,"Cullen, Rebecca","Team
–","Team
–","HALF
01:54:08","Finish Net
04:09:51","Finish Gun
04:11:47"
17690,6852,17690,"Paterson, Naomi","Team
–","Team
–","HALF
01:52:26","Finish Net
04:09:52","Finish Gun
04:10:28"
17696,6853,17696,"Campbell, Belle","Team
–","Team
–","HALF
01:53:26","Finish Net
04:09:55","Finish Gun
04:16:14"
17697,6854,17697,"Racicot, Marie-Eve","Team
–","Team
–","HALF
01:55:31","Finish Net
04:09:55","Finish Gun
04:13:42"
17702,6855,17702,"Chen, Danxing","Team
–","Team
–","HALF
01:52:17","Finish Net
04:09:57","Finish Gun
04:16:15"
17703,6856,17703,"Conner, Anna","Team
–","Team
–","HALF
02:04:24","Finish Net
04:09:57","Finish Gun
04:10:55"
17704,6857,17704,"Baker, Alexis","Team
–","Team
–","HALF
01:42:33","Finish Net
04:09:59","Finish Gun
04:11:31"
17705,6858,17705,"Whitworth, Lisa","Team
–","Team
–","HALF
01:52:20","Finish Net
04:10:00","Finish Gun
04:13:50"
17708,6859,17708,"Mickelson, Kristen","Team
–","Team
–","HALF
01:55:35","Finish Net
04:10:01","Finish Gun
04:16:25"
17710,6860,17710,"Roberge, Josiane","Team
–","Team
–","HALF
02:00:57","Finish Net
04:10:01","Finish Gun
04:19:01"
17713,6861,17713,"Klein, Teresa","Team
–","Team
–","HALF
01:58:57","Finish Net
04:10:03","Finish Gun
04:18:57"
17715,6862,17715,"Madden, Susan","Team
Winner's Circle Running Club","Team
Winner's Circle Running Club","HALF
02:01:38","Finish Net
04:10:04","Finish Gun
04:13:58"
17716,6863,17716,"Larcinese, Antoinette","Team
–","Team
–","HALF
02:03:35","Finish Net
04:10:04","Finish Gun
04:20:03"
17717,6864,17717,"Haverlock, Lauren","Team
–","Team
–","HALF
02:02:03","Finish Net
04:10:05","Finish Gun
04:11:05"
17719,6865,17719,"Suryckova, Eliska","Team
–","Team
–","HALF
01:55:00","Finish Net
04:10:05","Finish Gun
04:18:53"
17722,6866,17722,"Nickerson, Kennedy","Team
–","Team
–","HALF
01:42:10","Finish Net
04:10:06","Finish Gun
04:18:28"
17723,6867,17723,"Barclay, Leslie","Team
–","Team
–","HALF
01:54:44","Finish Net
04:10:07","Finish Gun
04:14:22"
17724,6868,17724,"Andrew, Sandra","Team
–","Team
–","HALF
02:00:45","Finish Net
04:10:07","Finish Gun
04:17:42"
17727,6869,17727,"Lin, Pei","Team
–","Team
–","HALF
02:05:40","Finish Net
04:10:08","Finish Gun
04:18:20"
17728,6870,17728,"Franz, Barbara","Team
–","Team
–","HALF
01:57:32","Finish Net
04:10:08","Finish Gun
04:17:48"
17729,6871,17729,"O'Connor, Sara","Team
–","Team
–","HALF
02:00:22","Finish Net
04:10:08","Finish Gun
04:16:54"
17730,6872,17730,"Bradford, Laura","Team
–","Team
–","HALF
01:55:36","Finish Net
04:10:08","Finish Gun
04:11:38"
17732,6873,17732,"Turner, Bernadette","Team
–","Team
–","HALF
02:02:18","Finish Net
04:10:09","Finish Gun
04:20:30"
17735,6874,17735,"Purhar, Neelam","Team
–","Team
–","HALF
01:57:21","Finish Net
04:10:10","Finish Gun
04:15:19"
17737,6875,17737,"Dapice, Deedra","Team
–","Team
–","HALF
01:56:11","Finish Net
04:10:12","Finish Gun
04:19:39"
17742,6876,17742,"Downs, Jennifer","Team
–","Team
–","HALF
01:57:21","Finish Net
04:10:14","Finish Gun
04:15:42"
17743,6877,17743,"Thauvette, Sophie","Team
–","Team
–","HALF
01:55:17","Finish Net
04:10:14","Finish Gun
04:18:36"
17744,6878,17744,"Lu, Yuchun","Team
–","Team
–","HALF
01:53:52","Finish Net
04:10:14","Finish Gun
04:15:47"
17745,6879,17745,"Briere, Melanie","Team
–","Team
–","HALF
01:57:36","Finish Net
04:10:16","Finish Gun
04:16:43"
17749,6880,17749,"Nolan, Amy","Team
–","Team
–","HALF
01:59:35","Finish Net
04:10:20","Finish Gun
04:13:40"
17751,6881,17751,"Duffield, Charlotte","Team
–","Team
–","HALF
01:57:04","Finish Net
04:10:20","Finish Gun
04:36:25"
17753,6882,17753,"Jin, Huiqing","Team
–","Team
–","HALF
01:54:27","Finish Net
04:10:20","Finish Gun
04:17:41"
17754,6883,17754,"Bowman, Kambrynn","Team
–","Team
–","HALF
01:55:00","Finish Net
04:10:21","Finish Gun
04:12:30"
17755,6884,17755,"Koonce, Suzanne","Team
–","Team
–","HALF
02:02:27","Finish Net
04:10:21","Finish Gun
04:19:47"
17758,6885,17758,"Ding, Rongfang","Team
–","Team
–","HALF
02:01:02","Finish Net
04:10:22","Finish Gun
04:15:20"
17763,6886,17763,"Berlam, Susan","Team
–","Team
–","HALF
01:58:54","Finish Net
04:10:26","Finish Gun
04:19:38"
17765,6887,17765,"Wang, Chiungyi","Team
–","Team
–","HALF
01:55:29","Finish Net
04:10:28","Finish Gun
04:11:52"
17766,6888,17766,"Murphrey, Morgan","Team
–","Team
–","HALF
01:56:39","Finish Net
04:10:28","Finish Gun
04:12:22"
17768,6889,17768,"Wang, Liyong","Team
–","Team
–","HALF
01:55:50","Finish Net
04:10:29","Finish Gun
04:16:20"
17769,6890,17769,"Pantani, Jeannette","Team
Charlotte Running Club","Team
Charlotte Running Club","HALF
01:51:25","Finish Net
04:10:30","Finish Gun
04:15:38"
17770,6891,17770,"Bryant, Heidi","Team
–","Team
–","HALF
01:52:15","Finish Net
04:10:30","Finish Gun
04:12:37"
17771,6892,17771,"Vichaidith, Cathy","Team
–","Team
–","HALF
01:56:48","Finish Net
04:10:32","Finish Gun
04:17:27"
17772,6893,17772,"Somer, Rebecca","Team
–","Team
–","HALF
–","Finish Net
04:10:32","Finish Gun
04:14:04"
17773,6894,17773,"Plava, Liliana","Team
–","Team
–","HALF
01:55:44","Finish Net
04:10:33","Finish Gun
04:16:25"
17774,6895,17774,"Lessman, Laura","Team
–","Team
–","HALF
01:52:42","Finish Net
04:10:33","Finish Gun
04:11:33"
17775,6896,17775,"Robinson, Anastasia","Team
–","Team
–","HALF
01:58:22","Finish Net
04:10:33","Finish Gun
04:12:58"
17776,6897,17776,"Bennett, Tara","Team
–","Team
–","HALF
01:58:24","Finish Net
04:10:33","Finish Gun
04:17:57"
17778,6898,17778,"Olsen, Diane","Team
–","Team
–","HALF
02:00:42","Finish Net
04:10:34","Finish Gun
04:13:27"
17779,6899,17779,"Armstrong, Zaire","Team
–","Team
–","HALF
02:02:36","Finish Net
04:10:34","Finish Gun
04:20:38"
17781,6900,17781,"Juckett Chesnutt, Stacy","Team
–","Team
–","HALF
01:57:16","Finish Net
04:10:34","Finish Gun
04:18:05"
17784,6901,17784,"Ivancovich, Kathryn","Team
–","Team
–","HALF
01:52:26","Finish Net
04:10:35","Finish Gun
04:17:51"
17785,6902,17785,"Taylor, Krista","Team
–","Team
–","HALF
01:57:57","Finish Net
04:10:35","Finish Gun
04:19:24"
17786,6903,17786,"Thompson, Jane","Team
–","Team
–","HALF
02:00:42","Finish Net
04:10:35","Finish Gun
04:18:06"
17788,6904,17788,"Collins, Valerie","Team
Raritan Valley Road Runners","Team
Raritan Valley Road Runners","HALF
01:52:59","Finish Net
04:10:36","Finish Gun
04:12:07"
17789,6905,17789,"Duan, Alice","Team
–","Team
–","HALF
01:53:00","Finish Net
04:10:36","Finish Gun
04:12:07"
17791,6906,17791,"Monetti, Sheena","Team
–","Team
–","HALF
02:00:05","Finish Net
04:10:37","Finish Gun
04:16:03"
17793,6907,17793,"Hennessey, Kimberley","Team
–","Team
–","HALF
01:58:22","Finish Net
04:10:37","Finish Gun
04:20:19"
17795,6908,17795,"Mantanona, Aleksandra","Team
–","Team
–","HALF
01:49:15","Finish Net
04:10:37","Finish Gun
04:19:25"
17797,6909,17797,"Vereneau, Alyssa","Team
–","Team
–","HALF
01:58:04","Finish Net
04:10:39","Finish Gun
04:13:48"
17798,6910,17798,"Altenburg, Chong","Team
–","Team
–","HALF
01:58:27","Finish Net
04:10:39","Finish Gun
04:18:45"
17799,6911,17799,"Chavez, Sara Sandra","Team
–","Team
–","HALF
01:47:17","Finish Net
04:10:40","Finish Gun
04:12:05"
17800,6912,17800,"Jones, El","Team
–","Team
–","HALF
01:52:04","Finish Net
04:10:41","Finish Gun
04:13:27"
17802,6913,17802,"Chong, Daniella","Team
–","Team
–","HALF
01:53:58","Finish Net
04:10:42","Finish Gun
04:11:48"
17803,6914,17803,"Yokoi, Naomi","Team
–","Team
–","HALF
01:56:44","Finish Net
04:10:43","Finish Gun
04:21:08"
17804,6915,17804,"Stashyn, Katarina","Team
–","Team
–","HALF
01:51:39","Finish Net
04:10:43","Finish Gun
04:18:54"
17805,6916,17805,"Burack, Elissa","Team
–","Team
–","HALF
01:47:55","Finish Net
04:10:44","Finish Gun
04:19:05"
17806,6917,17806,"Bergholtz, Annie","Team
–","Team
–","HALF
01:58:28","Finish Net
04:10:44","Finish Gun
04:11:25"
17808,6918,17808,"Green, Tiffany","Team
–","Team
–","HALF
01:54:35","Finish Net
04:10:45","Finish Gun
04:16:24"
17809,6919,17809,"Rolfes, Magda","Team
–","Team
–","HALF
01:54:51","Finish Net
04:10:45","Finish Gun
04:18:08"
17811,6920,17811,"Frank, Madison","Team
–","Team
–","HALF
01:59:00","Finish Net
04:10:46","Finish Gun
04:11:19"
17812,6921,17812,"Cooney, Elizabeth","Team
Somerville Road Runners","Team
Somerville Road Runners","HALF
01:54:09","Finish Net
04:10:46","Finish Gun
04:16:34"
17817,6922,17817,"Stockford, Jill","Team
–","Team
–","HALF
01:59:00","Finish Net
04:10:48","Finish Gun
04:18:18"
17818,6923,17818,"Hattenville, Alice","Team
–","Team
–","HALF
01:51:17","Finish Net
04:10:49","Finish Gun
04:17:20"
17820,6924,17820,"Roberts, Mary Ann","Team
–","Team
–","HALF
02:00:12","Finish Net
04:10:50","Finish Gun
04:18:28"
17821,6925,17821,"Wentz, Jill","Team
–","Team
–","HALF
02:01:03","Finish Net
04:10:51","Finish Gun
04:19:50"
17823,6926,17823,"Angulo Chinchilla, Carol","Team
–","Team
–","HALF
01:52:16","Finish Net
04:10:51","Finish Gun
04:13:10"
17824,6927,17824,"Forbes, Katherine","Team
–","Team
–","HALF
01:56:19","Finish Net
04:10:52","Finish Gun
04:19:16"
17829,6928,17829,"Orozco Medina, Maria Del Pilar","Team
–","Team
–","HALF
02:01:25","Finish Net
04:10:54","Finish Gun
04:12:11"
17830,6929,17830,"Lattin, Pamela","Team
–","Team
–","HALF
01:55:01","Finish Net
04:10:54","Finish Gun
04:17:43"
17834,6930,17834,"Chen, Mei","Team
Seattle United Runners","Team
Seattle United Runners","HALF
01:52:30","Finish Net
04:10:55","Finish Gun
04:13:24"
17837,6931,17837,"Sivak, Kristina","Team
–","Team
–","HALF
01:59:54","Finish Net
04:10:56","Finish Gun
04:17:14"
17838,6932,17838,"Cortes, Brenda","Team
–","Team
–","HALF
02:01:32","Finish Net
04:10:58","Finish Gun
04:17:57"
17840,6933,17840,"Giles, Victoria","Team
–","Team
–","HALF
02:02:14","Finish Net
04:10:59","Finish Gun
04:20:00"
17841,6934,17841,"Murray, Tricia","Team
–","Team
–","HALF
01:52:01","Finish Net
04:10:59","Finish Gun
04:13:41"
17842,6935,17842,"Scheithauer, Marina","Team
–","Team
–","HALF
01:50:10","Finish Net
04:10:59","Finish Gun
04:17:16"
17843,6936,17843,"Gauthier, Kristel","Team
–","Team
–","HALF
02:01:39","Finish Net
04:11:00","Finish Gun
04:12:59"
17844,6937,17844,"Schohl, Brooke","Team
–","Team
–","HALF
01:57:13","Finish Net
04:11:00","Finish Gun
04:17:37"
17845,6938,17845,"Baglieri, Nicole","Team
–","Team
–","HALF
01:50:57","Finish Net
04:11:01","Finish Gun
04:18:23"
17846,6939,17846,"Alderfer Fisher, Gayle","Team
–","Team
–","HALF
01:58:10","Finish Net
04:11:01","Finish Gun
04:21:36"
17847,6940,17847,"Stevenson, Rachel","Team
–","Team
–","HALF
02:01:00","Finish Net
04:11:02","Finish Gun
04:17:27"
17848,6941,17848,"Sullivan, Cheryl","Team
–","Team
–","HALF
01:52:27","Finish Net
04:11:03","Finish Gun
04:16:38"
17850,6942,17850,"Ryan, Kate","Team
–","Team
–","HALF
02:07:25","Finish Net
04:11:03","Finish Gun
04:13:09"
17851,6943,17851,"Spencer, Susan","Team
Cape Cod Athletic Club","Team
Cape Cod Athletic Club","HALF
01:58:17","Finish Net
04:11:04","Finish Gun
04:19:31"
17855,6944,17855,"Johnston, Bernadette","Team
–","Team
–","HALF
02:00:58","Finish Net
04:11:05","Finish Gun
04:22:26"
17856,6945,17856,"Cleary, Kylie","Team
–","Team
–","HALF
01:52:51","Finish Net
04:11:06","Finish Gun
04:11:23"
17857,6946,17857,"Ainsworth, Joanne","Team
–","Team
–","HALF
01:51:35","Finish Net
04:11:07","Finish Gun
04:18:51"
17858,6947,17858,"Haimad, Rekia","Team
–","Team
–","HALF
01:53:43","Finish Net
04:11:07","Finish Gun
04:17:23"
17861,6948,17861,"Sinning Brackman, Melissa","Team
–","Team
–","HALF
01:57:15","Finish Net
04:11:07","Finish Gun
04:17:52"
17862,6949,17862,"Baker, Sara","Team
–","Team
–","HALF
01:49:01","Finish Net
04:11:07","Finish Gun
04:12:20"
17863,6950,17863,"Mcmichael, Celina","Team
–","Team
–","HALF
01:54:06","Finish Net
04:11:07","Finish Gun
04:13:29"
17864,6951,17864,"Parks, Lindsay","Team
–","Team
–","HALF
01:51:42","Finish Net
04:11:08","Finish Gun
04:17:51"
17865,6952,17865,"Monley, Katie","Team
–","Team
–","HALF
01:57:16","Finish Net
04:11:08","Finish Gun
04:17:52"
17868,6953,17868,"Krause, Danielle","Team
–","Team
–","HALF
01:39:55","Finish Net
04:11:09","Finish Gun
04:18:11"
17869,6954,17869,"Newsom, Kathleen","Team
–","Team
–","HALF
02:00:23","Finish Net
04:11:10","Finish Gun
04:20:24"
17870,6955,17870,"Foster, Sharon","Team
–","Team
–","HALF
01:58:00","Finish Net
04:11:10","Finish Gun
04:20:04"
17871,6956,17871,"Nietschmann, Nicol","Team
–","Team
–","HALF
02:00:15","Finish Net
04:11:10","Finish Gun
04:22:25"
17873,6957,17873,"Duvall, Michele","Team
Crow Athletics","Team
Crow Athletics","HALF
01:58:51","Finish Net
04:11:11","Finish Gun
04:18:49"
17874,6958,17874,"Dennis-Gordon, Shelley","Team
–","Team
–","HALF
02:03:51","Finish Net
04:11:11","Finish Gun
04:20:46"
17878,6959,17878,"Korte, Anja","Team
–","Team
–","HALF
01:51:23","Finish Net
04:11:14","Finish Gun
04:13:42"
17879,6960,17879,"Trang, Thai","Team
–","Team
–","HALF
01:51:11","Finish Net
04:11:14","Finish Gun
04:15:12"
17880,6961,17880,"Penner, Rachael","Team
–","Team
–","HALF
01:51:42","Finish Net
04:11:14","Finish Gun
04:16:46"
17881,6962,17881,"Meza, Gisella","Team
–","Team
–","HALF
01:57:00","Finish Net
04:11:14","Finish Gun
04:36:32"
17887,6963,17887,"Banchi, Michelle","Team
–","Team
–","HALF
01:54:06","Finish Net
04:11:17","Finish Gun
04:13:40"
17888,6964,17888,"Bower, Mary","Team
–","Team
–","HALF
02:01:16","Finish Net
04:11:17","Finish Gun
04:14:10"
17889,6965,17889,"Rutledge, Molly","Team
–","Team
–","HALF
01:59:19","Finish Net
04:11:18","Finish Gun
04:19:56"
17890,6966,17890,"Wiesinger, Marielle","Team
–","Team
–","HALF
01:59:51","Finish Net
04:11:18","Finish Gun
04:22:51"
17892,6967,17892,"Evans, Tracy","Team
–","Team
–","HALF
01:55:21","Finish Net
04:11:19","Finish Gun
04:15:22"
17894,6968,17894,"Farre, Giampiera","Team
–","Team
–","HALF
01:54:03","Finish Net
04:11:19","Finish Gun
04:14:47"
17898,6969,17898,"Garcia Lopez, Elizabeth","Team
–","Team
–","HALF
01:54:18","Finish Net
04:11:23","Finish Gun
04:18:50"
17899,6970,17899,"Smith, Ann","Team
–","Team
–","HALF
01:48:08","Finish Net
04:11:26","Finish Gun
04:18:24"
17900,6971,17900,"Mihalick, Kyra","Team
–","Team
–","HALF
01:56:22","Finish Net
04:11:26","Finish Gun
04:12:29"
17901,6972,17901,"Zhang, Claire","Team
–","Team
–","HALF
01:52:29","Finish Net
04:11:26","Finish Gun
04:18:11"
17902,6973,17902,"Chung, Linda","Team
–","Team
–","HALF
01:59:26","Finish Net
04:11:27","Finish Gun
04:17:49"
17905,6974,17905,"Stamm, Kellie","Team
–","Team
–","HALF
02:01:59","Finish Net
04:11:28","Finish Gun
04:18:25"
17906,6975,17906,"Zuckerberg, Randi","Team
–","Team
–","HALF
01:41:21","Finish Net
04:11:28","Finish Gun
04:14:26"
17909,6976,17909,"Kresky-Griffin, Lisa","Team
–","Team
–","HALF
01:57:02","Finish Net
04:11:28","Finish Gun
04:18:12"
17910,6977,17910,"Ingebrigtsen, Sara","Team
–","Team
–","HALF
01:59:26","Finish Net
04:11:28","Finish Gun
04:13:02"
17915,6978,17915,"Viel, Laura","Team
–","Team
–","HALF
01:54:38","Finish Net
04:11:31","Finish Gun
04:14:50"
17916,6979,17916,"Mize, Donna","Team
–","Team
–","HALF
02:03:31","Finish Net
04:11:31","Finish Gun
04:18:42"
17919,6980,17919,"Kudarauskas, Elizabeth","Team
–","Team
–","HALF
01:55:20","Finish Net
04:11:34","Finish Gun
04:16:44"
17920,6981,17920,"Leitch, Christie","Team
–","Team
–","HALF
02:02:36","Finish Net
04:11:34","Finish Gun
04:19:51"
17924,6982,17924,"Cupples, Sarah","Team
–","Team
–","HALF
01:55:42","Finish Net
04:11:38","Finish Gun
04:19:16"
17925,6983,17925,"Santamaria, Kathiuska","Team
–","Team
–","HALF
01:59:41","Finish Net
04:11:38","Finish Gun
04:16:50"
17926,6984,17926,"Fairbanks, Janie","Team
–","Team
–","HALF
01:56:44","Finish Net
04:11:39","Finish Gun
04:20:55"
17927,6985,17927,"Jones, Pamela","Team
–","Team
–","HALF
02:01:24","Finish Net
04:11:39","Finish Gun
04:21:23"
17929,6986,17929,"Davidson, Amy","Team
–","Team
–","HALF
01:58:32","Finish Net
04:11:41","Finish Gun
04:16:12"
17931,6987,17931,"Olsen, Carolyn","Team
–","Team
–","HALF
01:56:26","Finish Net
04:11:41","Finish Gun
04:20:00"
17932,6988,17932,"Watts, Sylvie","Team
–","Team
–","HALF
02:00:58","Finish Net
04:11:42","Finish Gun
04:22:41"
17934,6989,17934,"Rockoff, Lillian","Team
–","Team
–","HALF
01:53:39","Finish Net
04:11:43","Finish Gun
04:11:49"
17938,6990,17938,"Shea, Erin","Team
Liberty Athletic Club","Team
Liberty Athletic Club","HALF
01:58:59","Finish Net
04:11:45","Finish Gun
04:15:28"
17945,6991,17945,"Zhang, Lili","Team
–","Team
–","HALF
02:03:03","Finish Net
04:11:48","Finish Gun
04:21:01"
17946,6992,17946,"Harrisson, Colleen","Team
–","Team
–","HALF
01:59:26","Finish Net
04:11:49","Finish Gun
04:13:43"
17948,6993,17948,"Staberg, Melissa","Team
–","Team
–","HALF
01:57:51","Finish Net
04:11:51","Finish Gun
04:14:28"
17949,6994,17949,"Shou, Jane","Team
–","Team
–","HALF
02:02:27","Finish Net
04:11:52","Finish Gun
04:20:12"
17952,6995,17952,"Federation, Christine","Team
–","Team
–","HALF
01:55:12","Finish Net
04:11:53","Finish Gun
04:21:44"
